"Year","Monthly mean sea level","Most Recent 5-Yr Average","NTDE Average Baseline","NTDE Average","Total Change"
"1991-08-15 00:00:00",0.18,,0,0,
"1991-09-15 00:00:00",0.08,,0,0,
"1991-10-15 00:00:00",0,,0,0,
"1991-11-15 00:00:00",0.24,,0,0,
"1991-12-15 00:00:00",0.03,,0,0,
"1992-01-15 00:00:00",-0.05,,0,0,
"1992-02-15 00:00:00",0.03,,0,0,
"1992-03-15 00:00:00",0.13,,0,0,
"1992-04-15 00:00:00",0.02,,0,0,
"1992-05-15 00:00:00",-0.2,,0,0,
"1992-06-15 00:00:00",-0.04,,0,0,
"1992-07-15 00:00:00",-0.04,,0,0,
"1992-08-15 00:00:00",0.08,,0,0,
"1992-09-15 00:00:00",0.33,,0,0,
"1992-10-15 00:00:00",0.18,,0,0,
"1992-11-15 00:00:00",0.32,,0,0,
"1992-12-15 00:00:00",0.28,,0,0,
"1993-01-15 00:00:00",0.09,,0,0,
"1993-02-15 00:00:00",0,,0,0,
"1993-03-15 00:00:00",0.12,,0,0,
"1993-04-15 00:00:00",0.07,,0,0,
"1993-05-15 00:00:00",0.06,,0,0,
"1993-06-15 00:00:00",0.07,,0,0,
"1993-07-15 00:00:00",0.01,,0,0,
"1993-08-15 00:00:00",0.06,,0,0,
"1993-09-15 00:00:00",0.04,,0,0,
"1993-10-15 00:00:00",0.13,,0,0,
"1993-11-15 00:00:00",-0.11,,0,0,
"1993-12-15 00:00:00",-0.21,,0,0,
"1994-01-15 00:00:00",-0.15,,0,0,
"1994-02-15 00:00:00",-0.19,,0,0,
"1994-03-15 00:00:00",-0.31,,0,0,
"1994-04-15 00:00:00",-0.19,,0,0,
"1994-05-15 00:00:00",-0.12,,0,0,
"1994-06-15 00:00:00",-0.07,,0,0,
"1994-07-15 00:00:00",0.21,,0,0,
"1994-08-15 00:00:00",0.25,,0,0,
"1994-09-15 00:00:00",0.22,,0,0,
"1994-10-15 00:00:00",0.28,,0,0,
"1994-11-15 00:00:00",0.09,,0,0,
"1994-12-15 00:00:00",0.01,,0,0,
"1995-01-15 00:00:00",-0.01,,0,0,
"1995-02-15 00:00:00",0,,0,0,
"1995-03-15 00:00:00",0.26,,0,0,
"1995-04-15 00:00:00",0.33,,0,0,
"1995-05-15 00:00:00",-0.03,,0,0,
"1995-06-15 00:00:00",0.19,,0,0,
"1995-07-15 00:00:00",0.37,,0,0,
"1995-08-15 00:00:00",0.11,,0,0,
"1995-09-15 00:00:00",0.25,,0,0,
"1995-10-15 00:00:00",0.31,,0,0,
"1995-11-15 00:00:00",0.32,,0,0,
"1995-12-15 00:00:00",0.39,,0,0,
"1996-01-15 00:00:00",0.16,,0,0,
"1996-02-15 00:00:00",-0.06,,0,0,
"1996-03-15 00:00:00",-0.05,,0,0,
"1996-04-15 00:00:00",0.05,,0,0,
"1996-05-15 00:00:00",0,,0,0,
"1996-06-15 00:00:00",-0.08,,0,0,
"1996-07-15 00:00:00",0.29,,0,0,
"1996-08-15 00:00:00",0.27,,0,0,
"1996-09-15 00:00:00",0.34,,0,0,
"1996-10-15 00:00:00",0.43,,0,0,
"1996-11-15 00:00:00",0.36,,0,0,
"1996-12-15 00:00:00",0.09,,0,0,
"1997-01-15 00:00:00",0,,0,0,
"1997-02-15 00:00:00",0.1,,0,0,
"1997-03-15 00:00:00",0.1,,0,0,
"1997-04-15 00:00:00",0.14,,0,0,
"1997-05-15 00:00:00",0.12,,0,0,
"1997-06-15 00:00:00",0.01,,0,0,
"1997-07-15 00:00:00",0.13,,0,0,
"1997-08-15 00:00:00",0.2,,0,0,
"1997-09-15 00:00:00",0.3,,0,0,
"1997-10-15 00:00:00",0.2,,0,0,
"1997-11-15 00:00:00",-0.04,,0,0,
"1997-12-15 00:00:00",-0.07,,0,0,
"1998-01-15 00:00:00",-0.14,,0,0,
"1998-02-15 00:00:00",-0.3,,0,0,
"1998-03-15 00:00:00",-0.13,,0,0,
"1998-04-15 00:00:00",-0.16,,0,0,
"1998-05-15 00:00:00",-0.19,,0,0,
"1998-06-15 00:00:00",-0.24,,0,0,
"1998-07-15 00:00:00",-0.3,,0,0,
"1998-08-15 00:00:00",0.04,,0,0,
"1998-09-15 00:00:00",0.18,,0,0,
"1998-10-15 00:00:00",-0.09,,0,0,
"1998-11-15 00:00:00",-0.06,,0,0,
"1998-12-15 00:00:00",-0.18,,0,0,
"1999-01-15 00:00:00",-0.04,,0,0,
"1999-02-15 00:00:00",-0.09,,0,0,
"1999-03-15 00:00:00",-0.09,,0,0,
"1999-04-15 00:00:00",-0.14,,0,0,
"1999-05-15 00:00:00",-0.19,,0,0,
"1999-06-15 00:00:00",-0.03,,0,0,
"1999-07-15 00:00:00",0.01,,0,0,
"1999-08-15 00:00:00",0.13,,0,0,
"1999-09-15 00:00:00",0.37,,0,0,
"1999-10-15 00:00:00",0.27,,0,0,
"1999-11-15 00:00:00",0.19,,0,0,
"1999-12-15 00:00:00",0.06,,0,0,
"2000-01-15 00:00:00",-0.11,,0,0,
"2000-02-15 00:00:00",-0.23,,0,0,
"2000-03-15 00:00:00",-0.13,,0,0,
"2000-04-15 00:00:00",-0.12,,0,0,
"2000-05-15 00:00:00",-0.05,,0,0,
"2000-06-15 00:00:00",0.01,,0,0,
"2000-07-15 00:00:00",0.02,,0,0,
"2000-08-15 00:00:00",-0.04,,0,0,
"2000-09-15 00:00:00",0.03,,0,0,
"2000-10-15 00:00:00",-0.06,,0,0,
"2000-11-15 00:00:00",-0.16,,0,0,
"2000-12-15 00:00:00",-0.05,,0,0,
"2001-01-15 00:00:00",-0.11,,0,0,
"2001-02-15 00:00:00",-0.03,,0,0,
"2001-03-15 00:00:00",-0.21,,0,0,
"2001-04-15 00:00:00",-0.13,,0,0,
"2001-05-15 00:00:00",-0.08,,0,0,
"2001-06-15 00:00:00",-0.06,,0,0,
"2001-07-15 00:00:00",0.1,,0,0,
"2001-08-15 00:00:00",0.13,,0,0,
"2001-09-15 00:00:00",0.15,,0,0,
"2001-10-15 00:00:00",-0.05,,0,0,
"2001-11-15 00:00:00",0.01,,0,0,
"2001-12-15 00:00:00",-0.02,,0,0,
"2002-01-15 00:00:00",-0.01,,0,,
"2002-02-15 00:00:00",-0.27,,0,,
"2002-03-15 00:00:00",-0.17,,0,,
"2002-04-15 00:00:00",-0.09,,0,,
"2002-05-15 00:00:00",-0.15,,0,,
"2002-06-15 00:00:00",-0.07,,0,,
"2002-07-15 00:00:00",-0.07,,0,,
"2002-08-15 00:00:00",-0.15,,0,,
"2002-09-15 00:00:00",0.22,,0,,
"2002-10-15 00:00:00",0.25,,0,,
"2002-11-15 00:00:00",0.06,,0,,
"2002-12-15 00:00:00",-0.06,,0,,
"2003-01-15 00:00:00",0.01,,0,,
"2003-02-15 00:00:00",-0.2,,0,,
"2003-03-15 00:00:00",0.08,,0,,
"2003-04-15 00:00:00",0,,0,,
"2003-05-15 00:00:00",0.15,,0,,
"2003-06-15 00:00:00",0.34,,0,,
"2003-07-15 00:00:00",0.24,,0,,
"2003-08-15 00:00:00",0.4,,0,,
"2003-09-15 00:00:00",0.66,,0,,
"2003-10-15 00:00:00",0.53,,0,,
"2003-11-15 00:00:00",0.21,,0,,
"2003-12-15 00:00:00",-0.03,,0,,
"2004-01-15 00:00:00",0.03,,0,,
"2004-02-15 00:00:00",0.19,,0,,
"2004-03-15 00:00:00",-0.02,,0,,
"2004-04-15 00:00:00",0.02,,0,,
"2004-05-15 00:00:00",0.36,,0,,
"2004-06-15 00:00:00",0.26,,0,,
"2004-07-15 00:00:00",0.1,,0,,
"2004-08-15 00:00:00",0.14,,0,,
"2004-09-15 00:00:00",0.31,,0,,
"2004-10-15 00:00:00",0.4,,0,,
"2004-11-15 00:00:00",0.36,,0,,
"2004-12-15 00:00:00",0.22,,0,,
"2005-01-15 00:00:00",0.13,,0,,
"2005-02-15 00:00:00",0.18,,0,,
"2005-03-15 00:00:00",0.13,,0,,
"2005-04-15 00:00:00",-0.05,,0,,
"2005-05-15 00:00:00",0.13,,0,,
"2005-06-15 00:00:00",0.07,,0,,
"2005-07-15 00:00:00",0,,0,,
"2005-08-15 00:00:00",0.09,,0,,
"2005-09-15 00:00:00",0.3,,0,,
"2005-10-15 00:00:00",0.07,,0,,
"2005-11-15 00:00:00",0.02,,0,,
"2005-12-15 00:00:00",0.12,,0,,
"2006-01-15 00:00:00",0.21,,0,,
"2006-02-15 00:00:00",0.02,,0,,
"2006-03-15 00:00:00",0.11,,0,,
"2006-04-15 00:00:00",0.05,,0,,
"2006-05-15 00:00:00",-0.09,,0,,
"2006-06-15 00:00:00",0.1,,0,,
"2006-07-15 00:00:00",0.31,,0,,
"2006-08-15 00:00:00",0.48,,0,,
"2006-09-15 00:00:00",0.3,,0,,
"2006-10-15 00:00:00",0.35,,0,,
"2006-11-15 00:00:00",0.39,,0,,
"2006-12-15 00:00:00",0.09,,0,,
"2007-01-15 00:00:00",0.07,,0,,
"2007-02-15 00:00:00",-0.08,,0,,
"2007-03-15 00:00:00",0.04,,0,,
"2007-04-15 00:00:00",-0.14,,0,,
"2007-05-15 00:00:00",-0.07,,0,,
"2007-06-15 00:00:00",0,,0,,
"2007-07-15 00:00:00",0.15,,0,,
"2007-08-15 00:00:00",0.29,,0,,
"2007-09-15 00:00:00",0.11,,0,,
"2007-10-15 00:00:00",0.02,,0,,
"2007-11-15 00:00:00",0.24,,0,,
"2007-12-15 00:00:00",0.2,,0,,
"2008-01-15 00:00:00",-0.04,,0,,
"2008-02-15 00:00:00",0,,0,,
"2008-03-15 00:00:00",-0.06,,0,,
"2008-04-15 00:00:00",-0.12,,0,,
"2008-05-15 00:00:00",0,,0,,
"2008-06-15 00:00:00",0.15,,0,,
"2008-07-15 00:00:00",0.25,,0,,
"2008-08-15 00:00:00",0.38,,0,,
"2008-09-15 00:00:00",0.28,,0,,
"2008-10-15 00:00:00",0.14,,0,,
"2008-11-15 00:00:00",0.11,,0,,
"2008-12-15 00:00:00",0.07,,0,,
"2009-01-15 00:00:00",-0.07,,0,,
"2009-02-15 00:00:00",-0.19,,0,,
"2009-03-15 00:00:00",-0.17,,0,,
"2009-04-15 00:00:00",-0.24,,0,,
"2009-05-15 00:00:00",-0.28,,0,,
"2009-06-15 00:00:00",-0.16,,0,,
"2009-07-15 00:00:00",0.05,,0,,
"2009-08-15 00:00:00",0.22,,0,,
"2009-09-15 00:00:00",0.19,,0,,
"2009-10-15 00:00:00",0.1,,0,,
"2009-11-15 00:00:00",-0.08,,0,,
"2009-12-15 00:00:00",-0.07,,0,,
"2010-01-15 00:00:00",-0.12,,0,,
"2010-02-15 00:00:00",-0.28,,0,,
"2010-03-15 00:00:00",-0.24,,0,,
"2010-04-15 00:00:00",-0.27,,0,,
"2010-05-15 00:00:00",-0.16,,0,,
"2010-06-15 00:00:00",-0.04,,0,,
"2010-07-15 00:00:00",0.23,,0,,
"2010-08-15 00:00:00",0.22,,0,,
"2010-09-15 00:00:00",0.3,,0,,
"2010-10-15 00:00:00",0.25,,0,,
"2010-11-15 00:00:00",0.12,,0,,
"2010-12-15 00:00:00",0.19,,0,,
"2011-01-15 00:00:00",0.07,,0,,
"2011-02-15 00:00:00",-0.08,,0,,
"2011-03-15 00:00:00",-0.16,,0,,
"2011-04-15 00:00:00",0,,0,,
"2011-05-15 00:00:00",-0.07,,0,,
"2011-06-15 00:00:00",0,,0,,
"2011-07-15 00:00:00",0.18,,0,,
"2011-08-15 00:00:00",0.18,,0,,
"2011-09-15 00:00:00",0.1,,0,,
"2011-10-15 00:00:00",0.08,,0,,
"2011-11-15 00:00:00",-0.01,,0,,
"2011-12-15 00:00:00",-0.2,,0,,
"2012-01-15 00:00:00",-0.18,,0,,
"2012-02-15 00:00:00",-0.1,,0,,
"2012-03-15 00:00:00",-0.01,,0,,
"2012-04-15 00:00:00",0.01,,0,,
"2012-05-15 00:00:00",-0.04,,0,,
"2012-06-15 00:00:00",-0.04,,0,,
"2012-07-15 00:00:00",-0.05,,0,,
"2012-08-15 00:00:00",-0.05,,0,,
"2012-09-15 00:00:00",0.14,,0,,
"2012-10-15 00:00:00",0.12,,0,,
"2012-11-15 00:00:00",0.23,,0,,
"2012-12-15 00:00:00",0.18,,0,,
"2013-01-15 00:00:00",-0.01,,0,,
"2013-02-15 00:00:00",-0.06,,0,,
"2013-03-15 00:00:00",-0.04,,0,,
"2013-04-15 00:00:00",-0.26,,0,,
"2013-05-15 00:00:00",-0.05,,0,,
"2013-06-15 00:00:00",0.11,,0,,
"2013-07-15 00:00:00",0.1,,0,,
"2013-08-15 00:00:00",0.14,,0,,
"2013-09-15 00:00:00",0.29,,0,,
"2013-10-15 00:00:00",0.32,,0,,
"2013-11-15 00:00:00",0.16,,0,,
"2013-12-15 00:00:00",0.02,,0,,
"2014-01-15 00:00:00",0.02,,0,,
"2014-02-15 00:00:00",-0.04,,0,,
"2014-03-15 00:00:00",-0.06,,0,,
"2014-04-15 00:00:00",-0.11,,0,,
"2014-05-15 00:00:00",-0.18,,0,,
"2014-06-15 00:00:00",0.23,,0,,
"2014-07-15 00:00:00",0.15,,0,,
"2014-08-15 00:00:00",0.3,,0,,
"2014-09-15 00:00:00",0.52,,0,,
"2014-10-15 00:00:00",0.4,,0,,
"2014-11-15 00:00:00",0.15,,0,,
"2014-12-15 00:00:00",0.1,,0,,
"2015-01-15 00:00:00",-0.05,,0,,
"2015-02-15 00:00:00",0.18,,0,,
"2015-03-15 00:00:00",0.1,,0,,
"2015-04-15 00:00:00",0.09,,0,,
"2015-05-15 00:00:00",0.18,,0,,
"2015-06-15 00:00:00",0.17,,0,,
"2015-07-15 00:00:00",-0.03,,0,,
"2015-08-15 00:00:00",0.09,,0,,
"2015-09-15 00:00:00",0.21,,0,,
"2015-10-15 00:00:00",0.26,,0,,
"2015-11-15 00:00:00",0.11,,0,,
"2015-12-15 00:00:00",0.09,,0,,
"2016-01-15 00:00:00",0.22,,0,,
"2016-02-15 00:00:00",0.27,,0,,
"2016-03-15 00:00:00",0.02,,0,,
"2016-04-15 00:00:00",0.24,,0,,
"2016-05-15 00:00:00",0.23,,0,,
"2016-06-15 00:00:00",0.3,,0,,
"2016-07-15 00:00:00",0.31,,0,,
"2016-08-15 00:00:00",0.33,,0,,
"2016-09-15 00:00:00",0.51,,0,,
"2016-10-15 00:00:00",0.5,,0,,
"2016-11-15 00:00:00",0.31,,0,,
"2016-12-15 00:00:00",0.28,,0,,
"2017-01-15 00:00:00",0.14,,0,,
"2017-02-15 00:00:00",0.27,,0,,
"2017-03-15 00:00:00",0.32,,0,,
"2017-04-15 00:00:00",0.56,,0,,
"2017-05-15 00:00:00",0.53,,0,,
"2017-06-15 00:00:00",0.34,,0,,
"2017-07-15 00:00:00",0.33,,0,,
"2017-08-15 00:00:00",0.76,,0,,
"2017-09-15 00:00:00",0.58,,0,,
"2017-10-15 00:00:00",0.5,,0,,
"2017-11-15 00:00:00",0.42,,0,,
"2017-12-15 00:00:00",0.37,,0,,
"2018-01-15 00:00:00",0.33,,0,,
"2018-02-15 00:00:00",0.15,,0,,
"2018-03-15 00:00:00",0.07,,0,,
"2018-04-15 00:00:00",0.06,,0,,
"2018-05-15 00:00:00",0,,0,,
"2018-06-15 00:00:00",0.18,,0,,
"2018-07-15 00:00:00",0.3,,0,,
"2018-08-15 00:00:00",0.46,,0,,
"2018-09-15 00:00:00",0.46,,0,,
"2018-10-15 00:00:00",0.37,,0,,
"2018-11-15 00:00:00",0.19,,0,,
"2018-12-15 00:00:00",0.06,,0,,
"2019-01-15 00:00:00",0.12,,0,,
"2019-02-15 00:00:00",-0.04,,0,,
"2019-03-15 00:00:00",-0.07,,0,,
"2019-04-15 00:00:00",0.06,,0,,
"2019-05-15 00:00:00",0.15,,0,,
"2019-06-15 00:00:00",0.03,,0,,
"2019-07-15 00:00:00",0.34,,0,,
"2019-08-15 00:00:00",0.52,,0,,
"2019-09-15 00:00:00",0.39,,0,,
"2019-10-15 00:00:00",0.47,,0,,
"2019-11-15 00:00:00",0.52,,0,,
"2019-12-15 00:00:00",0.59,,0,,
"2020-01-15 00:00:00",0.26,,0,,
"2020-02-15 00:00:00",0.09,,0,,
"2020-03-15 00:00:00",0.25,,0,,
"2020-04-15 00:00:00",0.28,,0,,
"2020-05-15 00:00:00",0.35,,0,,
"2020-06-15 00:00:00",0.54,,0,,
"2020-07-15 00:00:00",0.73,,0,,
"2020-08-15 00:00:00",0.65,,0,,
"2020-09-15 00:00:00",0.7,,0,,
"2020-10-15 00:00:00",0.74,,0,,
"2020-11-15 00:00:00",0.59,,0,,
"2020-12-15 00:00:00",0.49,,0,,
"2021-01-15 00:00:00",0.34,0.24,0,,
"2021-02-15 00:00:00",0.38,0.24,0,,
"2021-03-15 00:00:00",0.25,0.24,0,,
"2021-04-15 00:00:00",0.15,0.24,0,,
"2021-05-15 00:00:00",0.14,0.24,0,,
"2021-06-15 00:00:00",0.23,0.24,0,,
"2021-07-15 00:00:00",0.16,0.24,0,,
"2021-08-15 00:00:00",0.39,0.24,0,,
"2021-09-15 00:00:00",0.3,0.24,0,,
"2021-10-15 00:00:00",0.21,0.24,0,,
"2021-11-15 00:00:00",0.21,0.24,0,,
"2021-12-15 00:00:00",0.23,0.24,0,,
"2022-01-15 00:00:00",0.14,0.24,0,,
"2022-02-15 00:00:00",0.14,0.24,0,,
"2022-03-15 00:00:00",0.05,0.24,0,,
"2022-04-15 00:00:00",0.1,0.24,0,,
"2022-05-15 00:00:00",0.1,0.24,0,,
"2022-06-15 00:00:00",0.03,0.24,0,,
"2022-07-15 00:00:00",0.06,0.24,0,,
"2022-08-15 00:00:00",0.19,0.24,0,,
"2022-09-15 00:00:00",0.33,0.24,0,,
"2022-10-15 00:00:00",0.34,0.24,0,,
"2022-11-15 00:00:00",0.11,0.24,0,,
"2022-12-15 00:00:00",0.11,0.24,0,,
"2023-01-15 00:00:00",0.07,0.24,0,,
"2023-02-15 00:00:00",-0.03,0.24,0,,
"2023-03-15 00:00:00",-0.05,0.24,0,,
"2023-04-15 00:00:00",-0.08,0.24,0,,
"2023-05-15 00:00:00",-0.08,0.24,0,,
"2023-06-15 00:00:00",-0.14,0.24,0,,
"2023-07-15 00:00:00",0.26,0.24,0,,
"2023-08-15 00:00:00",0.47,0.24,0,,
"2023-09-15 00:00:00",0.4,0.24,0,,
"2023-10-15 00:00:00",0.47,0.24,0,,
"2023-11-15 00:00:00",0.36,0.24,0,,
"2023-12-15 00:00:00",0.19,0.24,0,,
"2024-01-15 00:00:00",0.22,0.24,0,,
"2024-02-15 00:00:00",0.1,0.24,0,,
"2024-03-15 00:00:00",0.1,0.24,0,,
"2024-04-15 00:00:00",0.11,0.24,0,,
"2024-05-15 00:00:00",0.2,0.24,0,,
"2024-06-15 00:00:00",0.26,0.24,0,,
"2024-07-15 00:00:00",0.52,0.24,0,,
"2024-08-15 00:00:00",0.64,0.24,0,,
"2024-09-15 00:00:00",0.63,0.24,0,,
"2024-10-15 00:00:00",0.58,0.24,0,,
"2024-11-15 00:00:00",0.39,0.24,0,,
"2024-12-15 00:00:00",0.35,0.24,0,,
"2025-01-15 00:00:00",0.26,0.24,0,,
"2025-02-15 00:00:00",0.22,0.24,0,,
"2025-03-15 00:00:00",0.08,0.24,0,,
"2025-04-15 00:00:00",0.14,0.24,0,,
"2025-05-15 00:00:00",0.09,0.24,0,,
"2025-06-15 00:00:00",0.07,0.24,0,,
"2025-07-15 00:00:00",0.18,0.24,0,,
"2025-08-15 00:00:00",0.52,0.24,0,,
"2025-09-15 00:00:00",0.67,0.24,0,,
"2025-10-15 00:00:00",0.6,0.24,0,,
"2025-11-15 00:00:00",0.41,0.24,0,,
"2025-12-15 00:00:00",0.27,0.24,0,,0.23566666666666666
"2025-12-15 00:00:00",,,,,-0.004333333333333328
